,location,date,new_diagnoses,new_diagnoses_all,new_tests_raw,new_tests,cum_tests,cum_diagnoses,cum_diagnoses_all,cum_deaths,new_deaths,index
0,QLD,2020-01-22,0,0,5,9.733333333333334,5,0,0,0.0,0.0,0
1,QLD,2020-01-23,0,0,1,18.533333333333335,6,0,0,0.0,0.0,1
2,QLD,2020-01-24,0,0,8,26.733333333333334,14,0,0,0.0,0.0,2
3,QLD,2020-01-25,0,0,7,30.0,21,0,0,0.0,0.0,3
4,QLD,2020-01-26,0,0,4,31.333333333333332,25,0,0,0.0,0.0,4
5,QLD,2020-01-27,0,0,10,35.33333333333333,35,0,0,0.0,0.0,5
6,QLD,2020-01-28,0,1,41,40.4,76,0,1,0.0,0.0,6
7,QLD,2020-01-29,0,1,70,46.2,146,0,2,0.0,0.0,7
8,QLD,2020-01-30,0,0,132,49.53333333333333,278,0,2,0.0,0.0,8
9,QLD,2020-01-31,0,0,123,53.866666666666674,401,0,2,0.0,0.0,9
10,QLD,2020-02-01,0,1,49,55.400000000000006,450,0,3,0.0,0.0,10
11,QLD,2020-02-02,0,0,20,56.93333333333334,470,0,3,0.0,0.0,11
12,QLD,2020-02-03,1,1,60,63.33333333333334,530,1,4,0.0,0.0,12
13,QLD,2020-02-04,2,2,76,68.46666666666667,606,3,6,0.0,0.0,13
14,QLD,2020-02-05,0,0,87,71.26666666666667,693,3,6,0.0,0.0,14
15,QLD,2020-02-06,0,0,55,72.2,748,3,6,0.0,0.0,15
16,QLD,2020-02-07,0,1,66,69.46666666666667,814,3,7,0.0,0.0,16
17,QLD,2020-02-08,0,0,31,63.13333333333333,845,3,7,0.0,0.0,17
18,QLD,2020-02-09,0,0,30,61.53333333333333,875,3,7,0.0,0.0,18
19,QLD,2020-02-10,0,0,100,65.0,975,3,7,0.0,0.0,19
20,QLD,2020-02-11,0,0,87,68.33333333333333,1062,3,7,0.0,0.0,20
21,QLD,2020-02-12,0,1,83,68.2,1145,3,8,0.0,0.0,21
22,QLD,2020-02-13,0,0,84,69.19999999999999,1229,3,8,0.0,0.0,22
23,QLD,2020-02-14,0,1,91,72.33333333333334,1320,3,9,0.0,0.0,23
24,QLD,2020-02-15,0,0,28,71.06666666666666,1348,3,9,0.0,0.0,24
25,QLD,2020-02-16,0,1,25,71.4,1373,3,10,0.0,0.0,25
26,QLD,2020-02-17,0,0,72,79.13333333333334,1445,3,10,0.0,0.0,26
27,QLD,2020-02-18,0,0,110,83.46666666666667,1555,3,10,0.0,0.0,27
28,QLD,2020-02-19,0,1,74,91.93333333333334,1629,3,11,0.0,0.0,28
29,QLD,2020-02-20,0,2,102,99.2,1731,3,13,0.0,0.0,29
30,QLD,2020-02-21,0,2,102,106.19999999999999,1833,3,15,0.0,0.0,30
31,QLD,2020-02-22,0,1,47,107.73333333333333,1880,3,16,0.0,0.0,31
32,QLD,2020-02-23,0,1,36,114.19999999999999,1916,3,17,0.0,0.0,32
33,QLD,2020-02-24,0,0,146,147.4,2062,3,17,0.0,0.0,33
34,QLD,2020-02-25,0,1,165,180.73333333333335,2227,3,18,0.0,0.0,34
35,QLD,2020-02-26,0,1,214,217.46666666666667,2441,3,19,0.0,0.0,35
36,QLD,2020-02-27,0,2,192,263.1333333333333,2633,3,21,0.0,0.0,36
37,QLD,2020-02-28,0,0,189,309.8,2822,3,21,0.0,0.0,37
38,QLD,2020-02-29,0,0,114,328.3333333333333,2936,3,21,0.0,0.0,38
39,QLD,2020-03-01,0,2,125,356.66666666666663,3061,3,23,0.0,0.0,39
40,QLD,2020-03-02,1,4,523,535.8,3584,4,27,0.0,0.0,40
41,QLD,2020-03-03,0,2,572,691.8,4156,4,29,0.0,0.0,41
42,QLD,2020-03-04,1,1,661,831.2,4817,5,30,0.0,0.0,42
43,QLD,2020-03-05,0,3,759,1021.6666666666667,5576,5,33,0.0,0.0,43
44,QLD,2020-03-06,1,6,802,1277.7333333333333,6378,6,39,0.0,0.0,44
45,QLD,2020-03-07,2,7,380,1367.2,6758,8,46,0.0,0.0,45
46,QLD,2020-03-08,1,13,472,1428.1333333333332,7230,9,59,0.0,0.0,46
