location,date,new_diagnoses,cum_infections,new_deaths,cum_deaths,new_tests,cum_tests,imported_cases,
Detroit,2020-02-25,0,0,0,0,0,0,200,
Detroit,2020-02-26,0,0,0,0,0,0,197,
Detroit,2020-02-27,0,0,0,0,0,0,194,
Detroit,2020-02-28,0,0,0,0,0,0,191,
Detroit,2020-02-29,0,0,0,0,0,0,188,
Detroit,2020-03-01,3,3,0,0,0,0,185,
Detroit,2020-03-02,4,7,0,0,0,0,182,
Detroit,2020-03-03,3,10,0,0,0,0,179,
Detroit,2020-03-04,5,15,0,0,0,0,176,
Detroit,2020-03-05,6,21,0,0,0,0,173,
Detroit,2020-03-06,9,30,0,0,0,0,170,
Detroit,2020-03-07,6,36,0,0,0,0,167,
Detroit,2020-03-08,11,47,0,0,0,0,164,
Detroit,2020-03-09,28,75,0,0,0,0,161,
Detroit,2020-03-10,41,116,0,0,0,0,158,
Detroit,2020-03-11,39,155,0,0,0,0,155,
Detroit,2020-03-12,68,223,0,0,1,1,152,
Detroit,2020-03-13,64,287,0,0,1,2,149,
Detroit,2020-03-14,78,365,0,0,3,5,146,
Detroit,2020-03-15,97,462,0,0,8,13,143,
Detroit,2020-03-16,166,628,0,0,121,134,140,
Detroit,2020-03-17,155,783,0,0,115,249,137,
Detroit,2020-03-18,221,1004,2,2,119,368,134,
Detroit,2020-03-19,184,1188,2,4,192,560,131,
Detroit,2020-03-20,209,1397,1,5,164,724,128,
Detroit,2020-03-21,212,1609,2,7,176,900,125,
Detroit,2020-03-22,172,1781,3,10,192,1092,122,
Detroit,2020-03-23,293,2074,7,17,231,1323,119,
Detroit,2020-03-24,294,2368,10,27,225,1548,116,
Detroit,2020-03-25,333,2701,6,33,378,1926,113,
Detroit,2020-03-26,316,3017,15,48,455,2381,110,
Detroit,2020-03-27,357,3374,21,69,404,2785,107,
Detroit,2020-03-28,303,3677,31,100,374,3159,104,
Detroit,2020-03-29,227,3904,23,123,665,3824,101,
Detroit,2020-03-30,421,4325,31,154,630,4454,98,
Detroit,2020-03-31,329,4654,37,191,1055,5509,95,
Detroit,2020-04-01,385,5039,47,238,1125,6634,92,
Detroit,2020-04-02,257,5296,41,279,1310,7944,89,
